iter	RMSE
0	7.950037505
1	7.949616437
2	7.949205701
3	7.948759551
4	7.948336603
5	7.947826296
6	7.94741548
7	7.946962513
8	7.946528343
9	7.946081591
10	7.945623632
11	7.945267312
12	7.944842252
13	7.944507232
14	7.944105158
15	7.943739333
16	7.943369685
17	7.943010206
18	7.942594528
19	7.942252411
20	7.941891834
21	7.941555217
22	7.941163256
23	7.940777214
24	7.940469413
25	7.940135319
26	7.939781819
27	7.939481159
28	7.939154275
29	7.938764051
30	7.938407882
31	7.938053882
32	7.937744186
33	7.93738985
34	7.937040982
35	7.93674854
36	7.936381571
37	7.936026675
38	7.935676219
39	7.935385182
40	7.935085987
41	7.934795264
42	7.934481514
43	7.934153921
44	7.933843137
45	7.933532868
46	7.933259256
47	7.932956524
48	7.932638869
49	7.932356518
50	7.932078778
51	7.931758481
52	7.931485943
53	7.93120618
54	7.930952914
55	7.930658826
56	7.930390821
57	7.930138016
58	7.929854444
59	7.929546846
60	7.929259257
61	7.928996403
62	7.928703355
63	7.928400898
64	7.9281302
65	7.927832468
66	7.927579778
67	7.92733251
68	7.927096998
69	7.926838712
70	7.926598611
71	7.926355996
72	7.926130724
73	7.925891622
74	7.925649457
75	7.925368028
76	7.925103801
77	7.924826204
78	7.924545398
79	7.924268012
80	7.924016606
81	7.92374642
82	7.923510953
83	7.923295086
84	7.923036168
85	7.922806596
86	7.922559201
87	7.922286016
88	7.922065155
89	7.921848003
90	7.921594712
91	7.921382283
92	7.921194833
93	7.920948524
94	7.920708012
95	7.920440428
96	7.920194056
97	7.919965157
98	7.919748305
99	7.919504718
100	7.919277292
101	7.919064379
102	7.918862932
103	7.91863798
104	7.918369857
105	7.918107593
106	7.917928904
107	7.917662014
108	7.917451377
109	7.917254033
110	7.917011788
111	7.916767611
112	7.916526697
113	7.916279103
114	7.916074193
115	7.915833878
116	7.915596264
117	7.915378382
118	7.915158685
119	7.914931024
120	7.914698135
121	7.914501407
122	7.914289465
123	7.914109349
124	7.913898715
125	7.913670168
126	7.913459402
127	7.913207039
128	7.912977234
129	7.912743128
130	7.912524587
131	7.912315166
132	7.912084597
133	7.911900967
134	7.911688421
135	7.911473739
136	7.911266711
137	7.911025047
138	7.910813479
139	7.910596701
140	7.910397825
141	7.910195657
142	7.909983746
143	7.90973728
144	7.90952469
145	7.909309676
146	7.90905126
147	7.90883613
148	7.908614767
149	7.908404008
150	7.908213717
151	7.908006586
152	7.907809491
153	7.907587866
154	7.907364446
155	7.907161832
156	7.906962136
